,ยี่ห้อ-รุ่น,ยี่ห้อ,ประเภท,เชื้อเพลิง,ขนาดเครื่องยนต์,รุ่นเครื่องยนต์,ระบบขับเคลื่อน,ระบบเกียร์
728,MG 3 X MY18 ปี 2018,MG,รถเก๋ง 5 ประตู,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","1,498 cc. 112 แรงม้า(HP)",4 สูบเรียง 16 วาล์ว DOHC VTI-TECH 112 HP 150 NM.,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 4AT (Torque Converter)
729,MG 3 D MY18 ปี 2018,MG,รถเก๋ง 5 ประตู,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","1,498 cc. 112 แรงม้า(HP)",4 สูบเรียง 16 วาล์ว DOHC VTI-TECH 112 HP 150 NM.,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 4AT (Torque Converter)
730,MG 3 C MY18 ปี 2018,MG,รถเก๋ง 5 ประตู,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","1,498 cc. 112 แรงม้า(HP)",4 สูบเรียง 16 วาล์ว DOHC VTI-TECH 112 HP 150 NM.,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 4AT (TORQUE CONVERTER)
731,Mini John Cooper Works CLUBMAN จอห์น คูเปอร์ เวิร์กส์ ปี 2021,Mini,รถเก๋ง 5 ประตู,แก๊สโซฮอล์ 95 (E10),"1,998 cc. 231 แรงม้า(HP)",เครื่องยนต์ 4 สูบขนาด 2.0 ลิตร ให้พละกำลังที่ 231 แรงม้า แรงบิดสูงสุด 320 นิวตันเมตร ...,ขับเคลื่อนสี่ล้อ Full Time (ALL4),เกียร์ออโต้ 8AT (พร้อม Steptronic)
732,Mini Convertible Cooper S MY21 คอนเวอร์ติเบิล ปี 2021,Mini,รถเก๋งเปิดประทุน,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10), เบนซิน E20","1,998 cc. 136 แรงม้า(HP)",3 สูบแถวเรียง DOHC 16 วาล์ว TwinPower Turbo,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 7AT (พร้อม Steptronic)
733,Mini Hatch 5 Door Cooper MY18 แฮทช์ 5 ประตู ปี 2018,Mini,รถเก๋ง 5 ประตู,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10), เบนซิน E20","1,499 cc. 136 แรงม้า(HP)",3 สูบแถวเรียง DOHC 16 วาล์ว TwinPower Turbo,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 7AT (พร้อม Steptronic)
734,Mini Hatch 3 Door Cooper MY21 แฮทช์ 3 ประตู ปี 2021,Mini,รถเก๋ง 3 ประตู,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10), เบนซิน E20","1,499 cc. 136 แรงม้า(HP)",3 สูบแถวเรียง DOHC 16 วาล์ว TwinPower Turbo,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 7AT (พร้อม Steptronic)
735,MG 3 V MY18 ปี 2018,MG,รถเก๋ง 5 ประตู,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","1,498 cc. 112 แรงม้า(HP)",4 สูบเรียง 16 วาล์ว DOHC VTI-TECH 112 HP 150 NM.,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 4AT (Torque Converter)
736,TATA Ultra 1014 ปี 2018,TATA,รถกระบะบรรทุกขนาดเล็ก (ขนาด 6 ล้อ),ดีเซล,"2,956 cc. 140 แรงม้า(HP)",ดีเซล คอมมอนเรล แบบ 4 สูบ ขนาด 3.0 ลิตร เทอร์โบอินเตอร์คูลเลอร์ กำลังสูงสุดที่ 140 แรงม้า ...,ขับเคลื่อนล้อหลัง,เกียร์ธรรมดา 6MT (ทำงานด้วยสายเคเบิ้ล)
737,Jaguar F-Type 2.0  ปี 2018,Jaguar,รถเก๋ง 2 ประตู,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,997 cc. 300 แรงม้า(PS)",4 สูบ DOHC 16 วาล์ว turbocharged,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (Quickshift)
738,Toyota Alphard 3.5 VIP MY2018 อัลฟาร์ด ปี 2018,Toyota,รถอเนกประสงค์ MPV,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","3,456 cc. 296 แรงม้า(PS)",V6 24 วาล์ว DOHC Chain Drive VVT-iW และ D-4S,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 8AT (พร้อม Direct Shift)
739,BYD E6 80kWh อี6 ปี 2018,BYD,รถอเนกประสงค์ MPV,ไฟฟ้า (80kWh),121 แรงม้า(HP),มอเตอร์ไฟฟ้า 100kW ขนาด121 แรงม้า แรงบิด 450 นิวตันเมตร...,ขับเคลื่อนล้อหน้า,1 จังหวะ
740,BMW X2 sDrive20i M Sport X ปี 2018,BMW,รถอเนกประสงค์ SUV,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,998 cc. 192 แรงม้า(HP)",4 สูบ 16 วาล์ว BMW TwinPower Turbo,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 7AT (แบบ Steptronic double clutch)
741,Jaguar E-PACE S 150PS ปี 2018,Jaguar,รถอเนกประสงค์ SUV,"ดีเซล, ไบโอดีเซล B5","1,999 cc. 150 แรงม้า(HP)",4 สูบ DOHC 16 วาล์ว Turbocharged,ขับเคลื่อนสี่ล้อ Full Time,เกียร์อัตโนมัติแบบ 9AT (ระบบ Intelligent Driveline Dynamics (IDD))
742,Rolls-Royce New Phantom Extended Wheelbase  ปี 2018,Rolls-Royce,รถเก๋ง 4 ประตู,เบนซิน 95,"6,749 cc. 563 แรงม้า(BHP)",V12 48 วาล์ว Twin Turbo,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (แบบ Intuitive Throttle Response)
743,Mercedes-benz CLS-Class CLS 200 d AMG Premium ซีแอลเอส-คลาส ปี 2021,Mercedes-benz,รถเก๋ง 4 ประตู,"ดีเซล, ไบโอดีเซล B5","1,950 cc. 194 แรงม้า(HP)",4 สูบแถวเรียง 16 วาล์ว เทอร์โบคู่ อินเตอร์คูลเลอร์...,ขับเคลื่อนล้อหลัง,เกียร์อัตโนมัติ 9AT (9G-Tronic)
744,Maserati Ghibli S GranSport MY2018 กิบลี่ ปี 2018,Maserati,รถเก๋ง 4 ประตู,เบนซิน 95,"2,979 cc. 430 แรงม้า(HP)",V6 DOHC 24 วาล์ว Twin-Turbo,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (พร้อม Sequential Manual)
745,Maserati Ghibli GranLusso MY2018 กิบลี่ ปี 2018,Maserati,รถเก๋ง 4 ประตู,เบนซิน 95,"2,979 cc. 350 แรงม้า(HP)",V6 DOHC 24 วาล์ว Twin-Turbo,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (พร้อม Sequential Manual)
746,Maserati Ghibli Diesel GranLusso MY2018 กิบลี่ ปี 2018,Maserati,รถเก๋ง 4 ประตู,"ดีเซล, ไบโอดีเซล B5","2,987 cc. 275 แรงม้า(HP)",V6 DOHC 24 วาล์ว Supercharging System,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (พร้อม Sequential Manual)
747,Maserati Ghibli Diesel MY2018 กิบลี่ ปี 2018,Maserati,รถเก๋ง 4 ประตู,"ดีเซล, ไบโอดีเซล B5","2,987 cc. 275 แรงม้า(HP)",V6 DOHC 24 วาล์ว Supercharging System,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (พร้อม Sequential Manual)
748,Audi A8 L 55 TFSI quattro Premium เอ8 ปี 2018,Audi,รถเก๋ง 4 ประตู,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","2,995 cc. 340 แรงม้า(HP)",V6 สูบ DOHC พร้อม Fuel Stratified Injection (FSI) และ Turbocharger,ขับเคลื่อนสี่ล้อ Full Time (quattro),เกียร์ออโต้ 8AT (Tiptronic)
749,Audi A8 L 55 TFSI quattro Prestige เอ8 ปี 2018,Audi,รถเก๋ง 4 ประตู,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","2,995 cc. 340 แรงม้า(HP)",V6 สูบ DOHC พร้อม Fuel Stratified Injection (FSI) และ Turbocharger,ขับเคลื่อนสี่ล้อ Full Time (quattro),เกียร์ออโต้ 8AT (Tiptronic)
750,Suzuki Swift GLX CVT MY21 สวิฟท์ ปี 2021,Suzuki,"รถเก๋ง 5 ประตู, Eco Car - รถอีโคคาร์","เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20","1,197 cc. 83 แรงม้า(PS)","K12M, DUALJET 4 สูบ DOHC 16 วาล์ว",ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT
751,Mercedes-benz E-Class E300 Cabriolet AMG Dynamic (MY20) อี-คลาส ปี 2020,Mercedes-benz,รถเก๋งเปิดประทุน,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20","1,991 cc. 285 แรงม้า(HP)","เครื่องยนต์ 4 สูบ แถวเรียง 1,991 ซีซี ที่ให้กำลังสูงสุด 258 แรงม้า ที่ 5,800 - 6,100 รอบต่อน...",ขับเคลื่อนล้อหลัง,เกียร์อัตโนมัติ 9AT (9G-Tronic)
752,Maserati Levante S เลอวานเต้ ปี 2017,Maserati,รถอเนกประสงค์ SUV,เบนซิน 95,"2,979 cc. 430 แรงม้า(HP)",V6 DOHC 24 วาล์ว,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT
753,Jaguar F-Type V6 Sport Coupe  ปี 2017,Jaguar,รถเก๋ง 2 ประตู,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","2,995 cc. 400 แรงม้า(PS)",V6 DOHC 24 วาล์ว Supercharged,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (Quickshift)
754,Jaguar F-Type V6 Convertible  ปี 2017,Jaguar,รถเก๋ง 2 ประตู,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","2,995 cc. 340 แรงม้า(PS)",V6 DOHC 24 วาล์ว Supercharged,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (Quickshift)
755,Jaguar F-Type V6 Coupe  ปี 2017,Jaguar,รถเก๋ง 2 ประตู,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","2,995 cc. 340 แรงม้า(PS)",V6 DOHC 24 วาล์ว Supercharged,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (Quickshift)
756,Lexus LC 500  ปี 2017,Lexus,รถเก๋งซูเปอร์คาร์,เบนซิน 95,"4,969 cc. 477 แรงม้า(HP)",เครื่องยนต์รหัส 2UR-GSE แบบ V8 5.0 ลิตร,ขับเคลื่อนล้อหลัง,เกียร์อัตโนมัติ 10AT
757,Audi A5 Sportback 45 TFSI quattro S line Black Edition เอ5 ปี 2020,Audi,"รถเก๋ง 5 ประตู, รถเก๋งแวน/เอสเตท","เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,984 cc. 249 แรงม้า(HP)",Mild Hybrid แบบ 4 สูบเครื่องยนต์รุ่น 45 TFSI พร้อมเทอร์โบชาร์จรุ่นใหม่ ให้กำลังสูงสุด 249 แรงม้า ...,ขับเคลื่อนสี่ล้อ Full Time (ระบบ quattro (Permanent all-wheel drive)),เกียร์ออโต้ 7AT (S Tronic)
758,Audi A5 Sportback 40 TFSI S line เอ5 ปี 2020,Audi,"รถเก๋ง 5 ประตู, รถเก๋งแวน/เอสเตท","เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,984 cc. 190 แรงม้า(HP)",เครื่องยนต์ Mild Hybrid 40 TFSI,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 7AT (S Tronic)
759,Lexus LS 500 Executive  ปี 2017,Lexus,รถเก๋ง 4 ประตู,เบนซิน 95,"3,456 cc. 415 แรงม้า(HP)",8GR-FXS V6 3.5L Dual VVT-i 24 วาล์ว twinturbo F1 technology กำลังสูงสุด 415 แรงม้า แรงบิด 600 นิว...,ขับเคลื่อนล้อหลัง,เกียร์อัตโนมัติ 10AT (Direct Shift)
760,Lexus LS 500h Executive  ปี 2017,Lexus,"รถเก๋ง 4 ประตู, รถไฮบริด",เบนซิน 95,"3,456 cc. 345 แรงม้า(HP)",8GR-FXS V6 3.5L Dual VVT-i  กำลังสูงสุด 299 แรงม้า แรงบิด 356 นิวตันเมตร พร้อมไฮบร...,ขับเคลื่อนล้อหลัง,เกียร์ออโต้แบบ CVT (ECVT 2 Speed)
761,Mercedes-benz AMG GT R เอเอ็มจี ปี 2017,Mercedes-benz,รถเก๋งซูเปอร์คาร์,เบนซิน 95,"3,982 cc. 585 แรงม้า(HP)","เครื่องยนต์เบนซิน V8 เทอร์โบคู่ ความจุกระบอกสูบ 3,982 ซีซี กำลังแรงม้าสูงสุดที่ 585 แรงม้า ที่ 6,250...",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 7AT (AMG Speedshift DCT)
762,Mercedes-benz AMG GT C เอเอ็มจี ปี 2017,Mercedes-benz,รถเก๋งซูเปอร์คาร์,เบนซิน 95,"3,982 cc. 557 แรงม้า(HP)","เครื่องยนต์เบนซิน V8 เทอร์โบคู่ ความจุกระบอกสูบ 3,982 ซีซี กำลังแรงม้าสูงสุดที่ 557 แรงม้า ที่ 5,750...",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 7AT (AMG Speedshift DCT)
763,Aston Martin DB11 Coupe V8 ดีบี11 ปี 2017,Aston Martin,รถเก๋งซูเปอร์คาร์,เบนซิน 95,"3,982 cc. 503 แรงม้า(HP)",V8 ทวินเทอร์โบ,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (electronic shift-by-wire control system)
764,Thairung Transformer II 2.8 4WD MT Limited ทรานส์ฟอร์เมอร์ส ทู ปี 2017,Thairung,รถอเนกประสงค์ SUV,"ดีเซล, ไบโอดีเซล B5","2,755 cc. 177 แรงม้า(PS)","1GD-FTV (High), 4 สูบแถวเรียง DOHC 16 วาล์ว VN เทอร์โบ อินเตอร์คูลเลอร์...",ขับเคลื่อนสี่ล้อ Part Time,เกียร์ธรรมดา 6MT (พร้อม iMT)
765,Volvo XC60 Recharge T8 AWD R-Design เอ็กซ์ซี60 ปี 2020,Volvo,"รถไฮบริด (Plug-in), รถอเนกประสงค์ SUV","เบนซิน 95, แก๊สโซฮอล์ 95 (E10), ไฮบริด","1,969 cc. 407 แรงม้า(HP)","เครื่องยนต์ Drive-E เครื่องยนต์เบนซิน 1,969 ซีซี 320 แรงม้าที่ 5,700 รอบต่อนาที กับมอเตอร์ไฟฟ้าอีก 8...",Continuous all-wheel drive (ด้านหน้าขับเคลื่อนด้วยเครื่องยนต์ ล้อหลังขับเคลื่อนด้วยไฟฟ้า),เกียร์ออโต้ 8AT (Geartronic)
766,Volvo XC60 Recharge T8 AWD R-Design Expression เอ็กซ์ซี60 ปี 2020,Volvo,"รถไฮบริด (Plug-in), รถอเนกประสงค์ SUV","เบนซิน 95, แก๊สโซฮอล์ 95 (E10), ไฮบริด","1,969 cc. 407 แรงม้า(HP)",Plug-In Hybrid เครื่องยนต์ Drive-E เบนซิน 2 ลิตร 4 สูบพร้อมซุปเปอร์ชาร์จ เทอร์โบชาร์จ และมอเตอร์ไฟฟ้...,Continuous all-wheel drive (ด้านหน้าขับเคลื่อนด้วยเครื่องยนต์ ล้อหลังขับเคลื่อนด้วยไฟฟ้า),เกียร์ออโต้ 8AT (Geartronic)
767,Lexus NX 300h Luxury เอ็นเอ็กซ์ ปี 2017,Lexus,รถอเนกประสงค์ SUV (Crossover),"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","2,494 cc. 156 แรงม้า(HP)","2AR-FXE, 4 สูบ DOHC 16 วาล์ว Dual VVT-i พร้อมมอเตอร์ไฟฟ้า 650V ให้แรงม้าสูงสุด 143 แรงม้า 
                                                    
                                                                        
ระบบขับเคลื่อน

ขับเคลื่อนล้อหน้า 


ระบบเกียร์

เกียร์ออโต้แบบ CVT (E-CVT)                                                            






2,940,000 บาท
















ดู รถราคาใกล้เคียง, Lexus ทุกรุ่น, NX ทุกรุ่นย่อย














คำนวณเงินผ่อน",,
768,Lexus NX 300h F Sport เอ็นเอ็กซ์ ปี 2017,Lexus,รถอเนกประสงค์ SUV (Crossover),"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","2,494 cc. 156 แรงม้า(HP)","2AR-FXE, 4 สูบ DOHC 16 วาล์ว Dual VVT-i พร้อมมอเตอร์ไฟฟ้า 650V ให้แรงม้าสูงสุด 143 แรงม้า 
                                                    
                                                                        
ระบบขับเคลื่อน

ขับเคลื่อนล้อหน้า 


ระบบเกียร์

เกียร์ออโต้แบบ CVT (E-CVT)                                                            






4,060,000 บาท
















ดู รถราคาใกล้เคียง, Lexus ทุกรุ่น, NX ทุกรุ่นย่อย














คำนวณเงินผ่อน",,
769,Lexus NX 300 Grand Luxury เอ็นเอ็กซ์ ปี 2017,Lexus,รถอเนกประสงค์ SUV (Crossover),"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,998 cc. 234 แรงม้า(HP)",4 สูบ DOHC 16 วาล์ว Dual VVT-iW Twin-scroll Turbocharged and Intercooler,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 6AT
770,Lexus NX 300 F Sport เอ็นเอ็กซ์ ปี 2017,Lexus,รถอเนกประสงค์ SUV (Crossover),"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,998 cc. 234 แรงม้า(HP)",4 สูบ DOHC 16 วาล์ว Dual VVT-iW Twin-scroll Turbocharged and Intercooler,ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 6AT
771,Volvo XC90 Recharge T8 AWD Inscription เอ็กซ์ซี 90 ปี 2020,Volvo,"รถไฮบริด, รถอเนกประสงค์ SUV","เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,969 cc. 407 แรงม้า(HP)","B4204T35, 4 สูบแถวเรียง 16 วาล์ว Turbocharged และ Supercharged 320 แรงม้า ที่ 5,700 รอบ/นาที แรงบ...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (พร้อม Geartronic)
772,Land Rover Range Rover Velar HSE  ปี 2017,Land Rover,รถอเนกประสงค์ SUV,ดีเซล,"1,999 cc. 180 แรงม้า(HP)",เครื่องยนต์ 4 สูบ  ดีเซล Ingenium คอมมอนแรลเทอร์โบ...,ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF8)
773,Land Rover Range Rover Velar S R-Dynamic  ปี 2017,Land Rover,รถอเนกประสงค์ SUV,ดีเซล,"1,999 cc. 180 แรงม้า(HP)",เครื่องยนต์ 4 สูบ  ดีเซล Ingenium คอมมอนแรลเทอร์โบ...,ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF8)
774,Land Rover Range Rover Velar S  ปี 2017,Land Rover,รถอเนกประสงค์ SUV,ดีเซล,"1,999 cc. 180 แรงม้า(HP)",เครื่องยนต์ 4 สูบ  ดีเซล Ingenium คอมมอนแรลเทอร์โบ...,ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF8)
775,Volvo S90 T8 Twin Engine AWD Inscription  ปี 2020,Volvo,"รถเก๋ง 4 ประตู, รถไฮบริด","เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,969 cc. 190 แรงม้า(HP)","B4204T35, 4 สูบแถวเรียง DOHC Supercharged and turbocharged",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (พร้อม Geartronic)
776,Land Rover Discovery TD6 3.0 HSE MY17 ดีสคัฟเวอรรี่ ปี 2017,Land Rover,รถอเนกประสงค์ SUV,ดีเซล,"2,993 cc. 258 แรงม้า(HP)","Diesel Turbo V6 258 แรงม้า ที่ 3,750 รอบต่อนาที แรงบิด 600 นิวตันเมตร ที่ 1,750 - 2,250 รอบต่อนาที...",ขับเคลื่อนสี่ล้อ Part Time,เกียร์ออโต้ 8AT (ZF)
777,Land Rover Discovery TD6 3.0 SE MY17 ดีสคัฟเวอรรี่ ปี 2017,Land Rover,รถอเนกประสงค์ SUV,ดีเซล,"2,993 cc. 258 แรงม้า(HP)","Diesel Turbo V6 258 แรงม้า ที่ 3,750 รอบต่อนาที แรงบิด 600 นิวตันเมตร ที่ 1,750 - 2,250 รอบต่อนาที...",ขับเคลื่อนสี่ล้อ Part Time,เกียร์ออโต้ 8AT (ZF)
778,Bentley Continental BENTAYGA คอนติเนนทัล ปี 2017,Bentley,รถอเนกประสงค์ SUV,เบนซิน 95,"5,950 cc. 608 แรงม้า(PS)",12 สูบรูปตัว W ขนาด 6 ลิตร เทอร์โบคู่ TSI,Continuous all-wheel drive (ระบบขับเคลื่อน 4 ล้อ ตลอดเวลา),เกียร์ออโต้ 8AT (ZF)
779,Mini Countryman Cooper S ENTRY คันทรีแมน ปี 2021,Mini,รถเก๋ง 5 ประตู (Crossover),"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91","1,998 cc. 192 แรงม้า(HP)","4 สูบ 1,998 cc TwinPower Turbo",ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 8AT (พร้อม Steptronic)
780,Honda Jazz S MT 2017 แจ๊ส ปี 2017,Honda,รถเก๋ง 5 ประตู,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","1,497 cc. 117 แรงม้า(PS)","L15A, 4 สูบ SOHC 16 วาล์ว i-VTEC พร้อมระบบควบคุมการเปิด-ปิดลิ้นปีกผีเสื้อแบบอิเล็กทรอนิกส์ (DBW)...",ขับเคลื่อนล้อหน้า,เกียร์ธรรมดา 5MT
781,Honda Jazz S 2017 AT แจ๊ส ปี 2017,Honda,รถเก๋ง 5 ประตู,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","1,497 cc. 117 แรงม้า(PS)","L15A, 4 สูบ SOHC 16 วาล์ว i-VTEC พร้อมระบบควบคุมการเปิด-ปิดลิ้นปีกผีเสื้อแบบอิเล็กทรอนิกส์ (DBW)...",ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT
782,Honda Jazz V AT 2017 แจ๊ส ปี 2017,Honda,รถเก๋ง 5 ประตู,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","1,497 cc. 117 แรงม้า(PS)","L15A, 4 สูบ SOHC 16 วาล์ว i-VTEC พร้อมระบบควบคุมการเปิด-ปิดลิ้นปีกผีเสื้อแบบอิเล็กทรอนิกส์ (DBW)...",ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT
783,Honda Jazz V+ AT 2017 แจ๊ส ปี 2017,Honda,รถเก๋ง 5 ประตู,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","1,497 cc. 117 แรงม้า(PS)","L15A, 4 สูบ SOHC 16 วาล์ว i-VTEC พร้อมระบบควบคุมการเปิด-ปิดลิ้นปีกผีเสื้อแบบอิเล็กทรอนิกส์ (DBW)...",ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT
784,Honda Jazz RS+ AT แจ๊ส ปี 2017,Honda,รถเก๋ง 5 ประตู,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","1,497 cc. 117 แรงม้า(PS)","L15A, 4 สูบ SOHC 16 วาล์ว i-VTEC พร้อมระบบควบคุมการเปิด-ปิดลิ้นปีกผีเสื้อแบบอิเล็กทรอนิกส์ (DBW)...",ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT
785,Honda Jazz RS AT แจ๊ส ปี 2017,Honda,รถเก๋ง 5 ประตู,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","1,497 cc. 117 แรงม้า(PS)","L15A, 4 สูบ SOHC 16 วาล์ว i-VTEC พร้อมระบบควบคุมการเปิด-ปิดลิ้นปีกผีเสื้อแบบอิเล็กทรอนิกส์ (DBW)...",ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT
786,Honda Mobilio RS AT โมบิลิโอ้ ปี 2017,Honda,รถอเนกประสงค์ MPV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","1,497 cc. 117 แรงม้า(PS)",เบนซิน 4 สูบ SOHC 16 วาล์ว i-VTEC,ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT (earthdream technology)
787,Honda Mobilio S AT 5 Seat โมบิลิโอ้ ปี 2017,Honda,รถอเนกประสงค์ MPV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","1,497 cc. 117 แรงม้า(PS)",4 สูบ SOHC 16 วาล์ว i-VTEC,ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT
788,Honda Mobilio V AT 7Seat โมบิลิโอ้ ปี 2017,Honda,รถอเนกประสงค์ MPV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","1,497 cc. 117 แรงม้า(PS)",4 สูบ SOHC 16 วาล์ว i-VTEC,ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT
789,Audi A5 Coupe 40 TFSI S Line เอ5 ปี 2020,Audi,รถเก๋ง 2 ประตู,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,984 cc. 190 แรงม้า(HP)",4 สูบ แถวเรียง DOHC พร้อม Turbocharging และ Indirect Intercooling...,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 7AT (S Tronic)
790,Audi Q2 35 TFSI คิว2 ปี 2017,Audi,รถอเนกประสงค์ SUV,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,395 cc. 150 แรงม้า(HP)","เบนซิน 4 สูบแถวเรียง พร้อมระบบจ่ายน้ำมันเชื้อเพลิง แบบฉีดตรง (direct injection), เทอร์โบชาร์จและเทคโ...",ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 7AT (S tronic)
791,Audi A4 40 TFSI S Line เอ4 ปี 2020,Audi,รถเก๋ง 4 ประตู,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,984 cc. 190 แรงม้า(HP)",4 สูบ แถวเรียง DOHC พร้อม Turbocharging และ Indirect Intercooling...,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 7AT (แบบ S-Tronic)
792,McLaren 720S 720เอส ปี 2017,McLaren,"รถเก๋ง 2 ประตู, รถเก๋งซูเปอร์คาร์",เบนซิน 95,"3,994 cc. 720 แรงม้า(PS)","M840T, V8 DOHC 32 วาล์ว Twin Turbo VVT",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 7AT (แบบ Seamless Shift Gearbox (SSG))
